,cocktail_name,alcoholic,image_url,glass_type,recipe,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15
0,'57 Chevy with a White License Plate,True,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,Highball glass,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,Creme de Cacao,Vodka,,,,,,,,,,,,,,1 oz white ,1 oz , , , , , ,,,,,,,,
1,1-900-FUK-MEUP,True,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Old-fashioned glass,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,Absolut Kurant,Grand Marnier,Chambord raspberry liqueur,Midori melon liqueur,Malibu rum,Amaretto,Cranberry juice,Pineapple juice,,,,,,,,1/2 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/4 oz ,1/2 oz ,1/4 oz , , , , , ,,
2,110 in the shade,True,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Beer Glass,Drop shooter in glass. Fill with beer,Lager,Tequila,,,,,,,,,,,,,,16 oz ,1.5 oz , , , , , ,,,,,,,,
3,151 Florida Bushwacker,True,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Beer mug,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,Malibu rum,Light rum,151 proof rum,Dark Creme de Cacao,Cointreau,Milk,Coconut liqueur,Vanilla ice-cream,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz Bacardi ,1 oz ,1 oz ,3 oz ,1 oz ,1 cup , , , , , ,,
4,155 Belmont,True,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,White wine glass,Blend with ice. Serve in a wine glass. Garnish with carrot.,Dark rum,Light rum,Vodka,Orange juice,,,,,,,,,,,,1 shot ,2 shots ,1 shot ,1 shot , , , , , ,,,,,,
5,24k nightmare,True,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,Shot glass,"Add over ice,shake and pour.",Goldschlager,Jägermeister,Rumple Minze,151 proof rum,,,,,,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz Bacardi , , , , , ,,,,,,
6,252,True,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,Shot glass,"Add both ingredients to shot glass, shoot, and get drunk quick",151 proof rum,Wild Turkey,,,,,,,,,,,,,,1/2 shot Bacardi ,1/2 shot , , , , , ,,,,,,,,
7,3 Wise Men,True,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,Collins glass,put them them in a glass... and slam it to tha head.,Jack Daniels,Johnnie Walker,Jim Beam,,,,,,,,,,,,,1/3 oz ,1/3 oz ,1/3 oz , , , , , ,,,,,,,
8,3-Mile Long Island Iced Tea,True,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,Gin,Light rum,Tequila,Triple sec,Vodka,Coca-Cola,Sweet and sour,Bitters,Lemon,,,,,,,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,1/2 oz ,"
",1-2 dash ,1 wedge , , , , , ,,
9,410 Gone,True,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,Collins Glass,,Peach Vodka,Coca-Cola,,,,,,,,,,,,,,2-3 oz,,,,,,,,,,,,,,
10,50/50,True,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,Collins Glass,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,Vanilla vodka,Grand Marnier,Orange juice,,,,,,,,,,,,,2 1/2 oz ,1 splash ,Fill with , , , , , ,,,,,,,
11,501 Blue,True,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,Collins Glass,Mix equal amounts into a glass with ice.,Blue Curacao,Blueberry schnapps,Vodka,Sour mix,7-Up,,,,,,,,,,,"
","
","
","
","
","
","
","
",,,,,,,
12,69 Special,True,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,Collins Glass,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",Gin,7-Up,Lemon juice,,,,,,,,,,,,,2 oz dry ,4 oz ,0.75 oz , , , , , ,,,,,,,
13,747,True,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,Shot glass,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",Kahlua,Bailey's irish cream,Frangelico,,,,,,,,,,,,,1/3 part ,1/3 part ,1/3 part , , , , , ,,,,,,,
14,9 1/2 Weeks,True,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Cocktail glass,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,Absolut Citron,Orange Curacao,Strawberry liqueur,Orange juice,,,,,,,,,,,,2 oz ,1/2 oz ,1 splash ,1 oz , , , , , ,,,,,,
15,A Day at the Beach,True,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,Highball glass,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.",Coconut rum,Amaretto,Orange juice,Grenadine,,,,,,,,,,,,1 oz ,1/2 oz ,4 oz ,1/2 oz , , , , , ,,,,,,
16,A Furlong Too Late,True,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,Highball glass,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,Light rum,Ginger beer,Lemon peel,,,,,,,,,,,,,2 oz ,4 oz ,1 twist of , , , , , ,,,,,,,
17,A Gilligan's Island,True,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,Collins glass,"Shaken, not stirred!",Vodka,Peach schnapps,Orange juice,Cranberry juice,,,,,,,,,,,,1 oz ,1 oz ,3 oz ,3 oz , , , , , ,,,,,,
18,A Night In Old Mandalay,True,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,Highball glass,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.",Light rum,Añejo rum,Orange juice,Lemon juice,Ginger ale,Lemon peel,,,,,,,,,,1 oz ,1 oz ,1 oz ,1/2 oz ,3 oz ,1 twist of , , , , , ,,,,
19,A Piece of Ass,True,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,Highball glass,Put ice in glass. Pour in shots. Fill with Sour Mix.,Amaretto,Southern Comfort,Ice,Sour mix,,,,,,,,,,,,1 shot ,1 shot ," cubes
","
","
","
","
","
","
",,,,,,
20,A Splash of Nash,True,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,Highball glass,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,Cranberry juice,Soda water,Midori melon liqueur,Creme de Banane,,,,,,,,,,,,2 oz ,2 oz ,0.5 oz ,0.5 oz , , , , , ,,,,,,
21,A True Amaretto Sour,True,http://www.thecocktaildb.com/images/media/drink/rptuxy1472669372.jpg,Old-fashioned glass,"Rub the rim of an old fashioned glass with lemon, and dip repeatedly into granulated sugar until it has a good ""frosted"" rim. Shake a jigger of Amaretto with the juice of 1/2 a lemon. Strain into glass and add ice. Garnish with a Marachino Cherry.",Amaretto,Lemon,Ice,Maraschino cherry,,,,,,,,,,,,1 jigger ,Juice of 1/2 ,"
", , , , , ,,,,,,,
22,A midsummernight dream,True,http://www.thecocktaildb.com/images/media/drink/ysqvqp1461867292.jpg,Collins Glass,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water",Vodka,Kirschwasser,Strawberry liqueur,Strawberries,Schweppes Russchian,,,,,,,,,,,2 oz ,1 oz ,1 tsp ,5 ,"
","
","
","
","
","
",,,,,
23,A. J.,True,http://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",Applejack,Grapefruit juice,,,,,,,,,,,,,,1 1/2 oz ,1 oz , , , , , ,,,,,,,,
24,A.D.M. (After Dinner Mint),True,http://www.thecocktaildb.com/images/media/drink/ruxuvp1472669600.jpg,Irish coffee cup,shake vigorously,White Creme de Menthe,Southern Comfort,Vodka,Hot chocolate,,,,,,,,,,,,1/2 oz ,3/4 oz ,1/2 oz ,Fill with , , , , , ,,,,,,
25,A1,True,http://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,,,,,1 3/4 shot ,1 Shot ,1/4 Shot,1/8 Shot,"
","
","
",,,,,,,,
26,ABC,True,http://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Shot glass,Layered in a shot glass.,Amaretto,Bailey's irish cream,Cognac,,,,,,,,,,,,,1/3 ,1/3 ,1/3 , , , , , ,,,,,,,
27,ACID,True,http://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,151 proof rum,Wild Turkey,,,,,,,,,,,,,,1 oz Bacardi ,1 oz , , , , , ,,,,,,,,
28,AT&T,True,http://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",Absolut Vodka,Gin,Tonic water,,,,,,,,,,,,,1 oz ,1 oz ,4 oz , , , , , ,,,,,,,
29,Abbey Cocktail,True,http://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,Cocktail glass,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,Gin,Orange bitters,Orange,Cherry,,,,,,,,,,,,1 1/2 oz ,1 dash ,Juice of 1/4 ,1 , , , , , ,,,,,,
30,Abbey Martini,True,http://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,Cocktail glass,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",Gin,Sweet Vermouth,Orange Juice,Angostura Bitters,,,,,,,,,,,,2 shots ,1 shot ,1 shot ,3 dashes ,"
","
","
",,,,,,,,
31,Abilene,True,http://www.thecocktaildb.com/images/media/drink/ysqwwt1461919465.jpg,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,Dark rum,Peach nectar,Orange juice,,,,,,,,,,,,,1 1/2 oz ,2 oz ,3 oz , , , , , ,,,,,,,
32,Absinthe #2,True,http://www.thecocktaildb.com/images/media/drink/uxxtrt1472667197.jpg,Jar,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy.",Vodka,Sugar,Anise,Licorice root,Wormwood,,,,,,,,,,,1 bottle ,50 gr ,50 ml pure ,1 tblsp ,1 , , , , , ,,,,,
33,Absolut Evergreen,True,http://www.thecocktaildb.com/images/media/drink/wrxrxp1472812609.jpg,Collins Glass,"Mix, pour over ice and top up with Bitter Lemon.",Absolut Citron,Pisang Ambon,Ice,Bitter lemon,,,,,,,,,,,,2/3 part ,1/3 part ," cubes
","
","
","
","
","
","
",,,,,,
34,Absolut Sex,True,http://www.thecocktaildb.com/images/media/drink/xtrvtx1472668436.jpg,Old-fashioned glass,"Shake Absolut Kurant, Midori, and Cranberry juice in shaker with ice: Strain into rocks glass: Splash of seven on top.Absolut Sex.",Absolut Kurant,Midori melon liqueur,Cranberry juice,Sprite,,,,,,,,,,,,3/4 oz ,3/4 oz ,1 oz ,1 splash , , , , , ,,,,,,
35,Absolut Stress #2,True,http://www.thecocktaildb.com/images/media/drink/xuyqrw1472811825.jpg,Collins Glass,Mix well. Garnish with Orange and Cherry. Enjoy,Absolut Vodka,Peach schnapps,Coconut liqueur,Cranberry juice,Pineapple juice,,,,,,,,,,,1 1/2 oz ,1/2 oz ,1/2 oz ,1 1/2 oz ,1 1/2 oz , , , , , ,,,,,
36,Absolut Summertime,True,http://www.thecocktaildb.com/images/media/drink/trpxxs1472669662.jpg,Collins glass,Add all ingredients except lemon to shaker filled with ice. Cover and shake vigorously. Strain contents into ice filled collins glass. Garnish with lemon.,Absolut Citron,Sweet and sour,Sprite,Soda water,Lemon,,,,,,,,,,,1 1/2 oz ,3/4 oz ,1/2 oz ,3 oz ,1 slice , , , , , ,,,,,
37,Absolut limousine,True,http://www.thecocktaildb.com/images/media/drink/ssqpyw1472719844.jpg,Collins Glass,Fill Absolut into a glass. Add Lime juice. Add Ice and lime wedges.,Absolut Citron,Lime juice,Ice,Tonic water,,,,,,,,,,,,2/3 ,1/3 ,Fill with ,Top it up with , , , , , ,,,,,,
38,Absolutely Cranberry Smash,True,http://www.thecocktaildb.com/images/media/drink/vqwstv1472811884.jpg,Cocktail glass,Stir ingredients together. Serve over ice.,Absolut Vodka,Cranberry juice,Ginger ale,Ice,,,,,,,,,,,,2 oz ,4 oz ,2 oz ,Add , , , , , ,,,,,,
39,Absolutely Fabulous,True,http://www.thecocktaildb.com/images/media/drink/abcpwr1504817734.jpg,Champagne flute,Mix the Vodka and Cranberry juice together in a shaker and strain into a glass. Top up with Champagne.,Vodka,Cranberry Juice,Champagne,,,,,,,,,,,,,1 shot ,2 shots ,Top up with,"
","
","
","
",,,,,,,,
40,Absolutly Screwed Up,True,http://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,Collins glass,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",Absolut Citron,Orange juice,Triple sec,Ginger ale,,,,,,,,,,,,1 shot ,1 shot ,1 shot ,Fill to top , , , , , ,,,,,,
41,Acapulco,True,http://www.thecocktaildb.com/images/media/drink/vtpsvr1472811976.jpg,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,Light rum,Triple sec,Lime juice,Sugar,Egg white,Mint,,,,,,,,,,1 1/2 oz ,1 1/2 tsp ,1 tblsp ,1 tsp ,1 ,1 , , , , , ,,,,
42,Ace,True,http://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,,,,,2 shots ,1/2 shot ,1/2 shot ,1/2 shot ,1/2 Fresh,"
","
",,,,,,,,
43,Adam,True,http://www.thecocktaildb.com/images/media/drink/rwuxsv1472812169.jpg,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Dark rum,Lemon juice,Grenadine,,,,,,,,,,,,,2 oz ,1 oz ,1 tsp , , , , , ,,,,,,,
44,Adam & Eve,True,http://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,Cocktail glass,Shake together all the ingredients and strain into a cold glass.,Gin,Cognac,Creme de Cassis,Fresh Lemon Juice,,,,,,,,,,,,1 shot ,1 shot ,1 shot ,1/8 shot ,,,,,,,,,,,
45,Adam Bomb,True,http://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",Rum,Vodka,Tequila,Triple sec,Fruit,Ice,Salt,Fruit juice,,,,,,,,1 part ,1 part ,1 part ,1/2 part ,"
","
",1-3 pint , , , , , ,,,
46,Adam Sunrise,True,http://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg,Collins Glass,"Fill blender up with ice. Fill half with Bartons Vodka. Put 10 tsp of sugar, add 1/2 can lemonade concentrate, fill to top with water. Blend for 60 seconds.",Vodka,Lemonade,Water,Sugar,,,,,,,,,,,,1/2 ,1/2 can ,1/2 ,10 tsp , , , , , ,,,,,,
47,Addington,True,http://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,Cocktail glass,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,Sweet Vermouth,Dry Vermouth,Soda Water,,,,,,,,,,,,,2 shots ,1 shot ,"Top up with
","
","
","
","
",,,,,,,,
48,Addison,True,http://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Martini Glass,Shake together all the ingredients and strain into a cold glass.,Gin,Vermouth,,,,,,,,,,,,,,1 1/2 shot ,1 1/2 shot ,"
","
","
","
","
",,,,,,,,
49,Addison Special,True,http://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg,Old-fashioned glass,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.,Vodka,Grenadine,Orange juice,,,,,,,,,,,,,1 shot ,1 tblsp ,Fill with , , , , , ,,,,,,,
50,Adios Amigos Cocktail,True,http://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,Martini Glass,Shake together all the ingredients and strain into a cold glass.,Rum,Dry Vermouth,Cognac,Gin,Fresh Lime Juice,Sugar Syrup,Water,,,,,,,,,1 shot ,1/2 shot ,1/2 shot ,1/2 shot ,1/4 shot,1/4 shot,1/2 shot ,,,,,,,,
51,Adonis Cocktail,True,http://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",Sweet Vermouth,Sherry,Orange bitters,,,,,,,,,,,,,3/4 oz ,1 1/2 oz dry ,1 dash , , , , , ,,,,,,,
52,Affair,True,http://www.thecocktaildb.com/images/media/drink/wxrsxx1472720734.jpg,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.",Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,,,,,,2 oz ,2 oz ,2 oz ,"
","
","
","
","
","
",,,,,,
53,Affinity,True,http://www.thecocktaildb.com/images/media/drink/nwatpb1504817045.jpg,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz ,2 dashes , , , , , ,,,,,,
54,After Dinner Cocktail,True,http://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg,Cocktail glass,Shake all ingredients (except lime wedge) with ice and strain into a cocktail glass. Add the wedge of lime and serve.,Apricot brandy,Triple sec,Lime,Lime,,,,,,,,,,,,1 oz ,1 oz ,Juice of 1 ,1 , , , , , ,,,,,,
55,After Five,True,http://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg,Shot glass,"1. Pour Kahlua into shot glass to about 1/2 full. 2. Using a spoon(inverted), slowly pour in the Peppermint Schnapps until glass is about 3/4 full. Done correctly, the Schnapps will flow under the Kahlua for a clear layer. 3. Again using a spoon, but this time right side up, slowly top off the glass with a layer of Bailey's. Be careful to place the spoon right at the top of the Kahlua layer and to raise it as the glass fills up. Done correctly, this will provide a layer of Bailey's floating over the Kahlua. 4. Toss it down all at once for something like a Peppermint Pattie, WITH A BANG!!! NOTE: Best if all ingredients are chilled",Peppermint schnapps,Kahlua,Bailey's irish cream,,,,,,,,,,,,,"
","
","
","
","
","
","
",,,,,,,,
56,After Supper Cocktail,True,http://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Triple sec,Apricot brandy,Lemon juice,,,,,,,,,,,,,1 oz ,1 oz ,1/2 tsp , , , , , ,,,,,,,
57,After sex,True,http://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,Vodka,Creme de Banane,Orange juice,,,,,,,,,,,,,2 cl ,1 cl ,"
","
","
","
","
","
",,,,,,,
58,Afterglow,False,http://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg,Highball Glass,Mix. Serve over ice.,Grenadine,Orange juice,Pineapple juice,,,,,,,,,,,,,1 part ,4 parts ,4 parts , , , , , ,,,,,,,
59,Afternoon,True,http://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",Kahlua,Bailey's irish cream,Frangelico,Coffee,Cream,,,,,,,,,,,1 cl ,1 cl ,1 1/2 ,4 cl hot ,"
","
","
","
","
","
",,,,,
60,Alabama Slammer,True,http://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg,Highball glass,"Pour all ingredients (except for lemon juice) over ice in a highball glass. Stir, add a dash of lemon juice, and serve.",Southern Comfort,Amaretto,Sloe gin,Lemon juice,,,,,,,,,,,,1 oz ,1 oz ,1/2 oz ,1 dash , , , , , ,,,,,,
61,Alaska Cocktail,True,http://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",Orange bitters,Gin,Yellow Chartreuse,Lemon peel,,,,,,,,,,,,2 dashes ,1 1/2 oz ,3/4 oz ,Twist of , , , , , ,,,,,,
62,Alexander,True,http://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,Gin,Creme de Cacao,Light cream,Nutmeg,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz ,,,,,,,,,,,,
63,Alfie Cocktail,True,http://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,Cocktail glass,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",Lemon vodka,Triple sec,Pineapple juice,,,,,,,,,,,,,1 1/2 oz ,1 dash ,1 tblsp , , , , , ,,,,,,,
64,Algonquin,True,http://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg,Cocktail glass,"Combine and shake all ingredients with ice, strain contents into a cocktail glass, and serve.",Blended whiskey,Dry Vermouth,Pineapple juice,,,,,,,,,,,,,1 1/2 oz ,1 oz ,1 oz , , , , , ,,,,,,,
65,Alice Cocktail,False,http://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg,Cocktail glass,"Shake well, strain into a large cocktail glass.",Grenadine,Orange juice,Pineapple juice,Cream,,,,,,,,,,,,1 cl ,1 cl ,2 cl ,4 cl , , , , , ,,,,,,
66,Alice in Wonderland,True,http://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg,Collins Glass,Just mix the three ingredients one to one to one,Amaretto,Grand Marnier,Southern Comfort,,,,,,,,,,,,,1 shot ,1 shot ,1 shot , , , , , ,,,,,,,
67,Allegheny,True,http://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,,,,,,,,1 oz ,1 oz ,1 1/2 tsp ,1 1/2 tsp ,1 twist of , , , , , ,,,,,
68,Allies Cocktail,True,http://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",Dry Vermouth,Gin,Kummel,,,,,,,,,,,,,1 oz ,1 oz ,1/2 tsp , , , , , ,,,,,,,
69,Almeria,True,http://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Dark rum,Kahlua,Egg white,,,,,,,,,,,,,2 oz ,1 oz ,1 , , , , , ,,,,,,,
70,Almond Chocolate Coffee,True,http://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg,Coffee mug,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.,Amaretto,Dark Creme de Cacao,Coffee,,,,,,,,,,,,,3/4 oz ,1/2 oz ,8 oz , , , , , ,,,,,,,
71,Almond Joy,True,http://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Amaretto,Creme de Cacao,Light cream,,,,,,,,,,,,,1/2 oz ,1/2 oz white ,2 oz , , , , , ,,,,,,,
72,Aloha Fruit punch,False,http://www.thecocktaildb.com/images/media/drink/wsyvrt1468876267.jpg,Collins Glass,"Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly.",Water,Ginger,Guava juice,Lemon juice,Pineapple,Sugar,Pineapple juice,,,,,,,,,3/4 cup ,2 tsp ,2 cups ,1 1/2 tblsp ,1 1/2 cup ,1 cup ,3-4 cups , , , , , ,,,
73,Amaretto And Cream,True,http://www.thecocktaildb.com/images/media/drink/dj8n0r1504375018.jpg,Cocktail glass,"Shake well with cracked ice, strain contents into a cocktail glass, and serve.",Amaretto,Light cream,,,,,,,,,,,,,,1 1/2 oz ,1 1/2 oz , , , , , ,,,,,,,,
74,Amaretto Liqueur,True,http://www.thecocktaildb.com/images/media/drink/swqxuv1472719649.jpg,Collins Glass,"Combine sugar and 3/4 cup water in a small saucepan. Bring to a boil, stirring constantly. Reduce heat and simmer until all sugar is dissolved. Remove from heat and cool. In an aging container, combine apricot halves, almond extract, grain alcohol with 1/2 cup water, and brandy. Stir in cooled sugar syrup mixture. Cap and let age for 2 days. Remove apricot halves. (Save apricot halves, can be used for cooking). Add food coloring and glycerine. Stir, recap and continue aging for 1 to 2 months. Re-bottle as desired. Liqueur is ready to serve but will continue to improve with additional aging.",Sugar,Water,Apricot,Almond flavoring,Grain alcohol,Water,Brandy,Food coloring,Food coloring,Food coloring,Glycerine,,,,,1 cup,3/4 cup ,2 ,1 tblsp ,1/2 cup pure ,1/2 cup ,1 cup ,3 drops yellow ,6 drops red ,2 drops blue ,1/2 tsp , , , , 
75,Amaretto Mist,True,http://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,Old-fashioned glass,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",Amaretto,Lime,,,,,,,,,,,,,,1 1/2 oz ,1 , , , , , ,,,,,,,,
76,Amaretto Rose,True,http://www.thecocktaildb.com/images/media/drink/3jm41q1493069578.jpg,Collins glass,Pour amaretto and lime juice over ice in a collins glass. Fill with club soda and serve.,Amaretto,Lime juice,Club soda,,,,,,,,,,,,,1 1/2 oz ,1/2 oz ,"
","
","
","
","
","
",,,,,,,
77,Amaretto Shake,True,http://www.thecocktaildb.com/images/media/drink/xk79al1493069655.jpg,Collins Glass,Combine all ingredients in a blender and blend at high speed until smooth. Serve in chilled glass garnished with bittersweet chocolate shavings.,Chocolate ice-cream,Brandy,Amaretto,,,,,,,,,,,,,2 scoops ,2 oz ,2 oz , , , , , ,,,,,,,
